arb_mcat:  sec: 568 ;min: 9
arb_physics:  sec: 587 ;min: 9
lima:  sec: 6140 ;min: 102
dolly:  sec: 12439 ;min: 207
gsm8k:  sec: 13370 ;min: 222
openbookqa:  sec: 4897 ;min: 81
babi:  sec: 18529 ;min: 308
scibench:  sec: 1299 ;min: 21
narrativeqa:  sec: 8114 ;min: 135
reclor:  sec: 3944 ;min: 65
synthetic_reasoning:  sec: 2249 ;min: 37
theoremqa:  sec: 3207 ;min: 53
tigerbot-kaggle:  sec: 3230 ;min: 53
scienceqa:  sec: 6955 ;min: 115
MATH:  sec: 32946 ;min: 549
guanaco:  sec: 40401 ;min: 673
apps:  sec: 40851 ;min: 680
hellaswag:  sec: 41923 ;min: 698
mmlu:  sec: 47373 ;min: 789
sharegpt_gpt4:  sec: 27 ;min: 0
sharegpt_gpt4:  sec: 99 ;min: 1
sharegpt_gpt4.json;sharegpt:  sec: 30 ;min: 0
sharegpt_gpt4.json;sharegpt:  sec: 214 ;min: 3
sharegpt_gpt4.json;sharegpt:  sec: 2691 ;min: 44
sharegpt_gpt4:  sec: 350 ;min: 5
sharegpt4_format:  sec: 31295 ;min: 521
garage-bAInd/Open-Platypus:  sec: 10 ;min: 0
Open-Platypus:  sec: 20815 ;min: 346
:  sec: 64 ;min: 1
:  sec: 70 ;min: 1
processed_evaluator_v1_200:  sec: 112 ;min: 1
processed_evaluator_v2_200:  sec: 114 ;min: 1
processed_randomsampling_200:  sec: 118 ;min: 1
processed_evaluator_v1_200:  sec: 7 ;min: 0
processed_evaluator_v2_200:  sec: 7 ;min: 0
processed_randomsampling_200:  sec: 6 ;min: 0
processed_evaluator_v2_200:  sec: 90 ;min: 1
processed_randomsampling_200:  sec: 123 ;min: 2
processed_evaluator_v1_200:  sec: 154 ;min: 2
Open-Platypus:  sec: 10663 ;min: 177
sharegpt4:  sec: 21 ;min: 0
ultrachat_200k:  sec: 26 ;min: 0
sharegpt4:  sec: 569 ;min: 9
ultrachat_200k:  sec: 2233 ;min: 37
sharegpt4:  sec: 23635 ;min: 393
sharegpt_zh:  sec: 148483 ;min: 2474
SlimOrca-Dedup:  sec: 214508 ;min: 3575
gsm8k_zh:  sec: 443 ;min: 7
gsm8k_zh:  sec: 690 ;min: 11
v1219:  sec: 1199 ;min: 19
v1219:  sec: 449 ;min: 7
v1219:  sec: 82120 ;min: 1368
v1221:  sec: 419 ;min: 6
v1221:  sec: 405 ;min: 6
v1221:  sec: 80 ;min: 1
v1221:  sec: 79815 ;min: 1330
v1221:  sec: 1241 ;min: 20
v1221:  sec: 399 ;min: 6
v1221:  sec: 101 ;min: 1
v1221:  sec: 923 ;min: 15
v1223:  sec: 1882 ;min: 31
v1223:  sec: 234 ;min: 3
v1223:  sec: 82118 ;min: 1368
v1225:  sec: 36 ;min: 0
v1225:  sec: 161 ;min: 2
v1225:  sec: 70 ;min: 1
v1225:  sec: 116 ;min: 1
v1225:  sec: 91 ;min: 1
v1225:  sec: 884 ;min: 14
v1225:  sec: 537 ;min: 8
v1225:  sec: 2790 ;min: 46
v1226:  sec: 106321 ;min: 1772
